reviewer,stars,title,review,date,country
Jung,5,Excellent,"Excellent. Brilliant book and a must read for everyone, especially parents. There are excellent learning points around providing your children with the right environment to achieve their potential, creating opportunity etc.",2014-11-03,Reino Unido
Amazon Customer,5,Five Stars,Five Stars. great product,2017-08-21,Reino Unido
AmazonCustomer,5,great,great. very nicely packaged. the book arrived in great condition and smelt really nice. 10/10 would buy again,2021-03-28,Reino Unido
amazonialifeprotect,3,Outliers: story of success books,"Outliers: story of success books. Haven’t finished the book yet but it is quite interesting however, it’s statistics is quite confusing and not for the laymen",2020-04-18,Reino Unido
Mr. R. Spencer,5,Eye Opening and Thought Provoking,Eye Opening and Thought Provoking. One of those books everyone should read. A different way of looking at things we all assume we know all about already.,2016-04-01,Reino Unido
Amazon Customer,4,Ingredients for success,Ingredients for success. A powerful sociological writer who uses extensive research to come up with some challenging theories on human behaviour.,2019-10-19,Reino Unido
Habibe K.,4,Different,"Different. It was a interesting read. Some of the context I did not understand why it was included. However, towards the end it all made sense. To achieve you need to work hard and this books explains this really well.",2018-02-17,Reino Unido
Babsn,3,Three Stars,Three Stars. As expected,2018-06-20,Reino Unido
Kindle Customer,5,My dad recommended this guy,"My dad recommended this guy. Almost sad at times, it completely dismantles the sentiment that success happens in a vacuum. Speaks at depth, without ever being boring or overly complex. Great read",2020-05-18,Reino Unido
Dolphe,5,Very interesting read,Very interesting read. Well thought and some provocative ideas put forward! A detailed historical account of success that makes one pause and reassess success!,2017-06-28,Reino Unido
Natacha Gobeille,5,You need to read this book!,"You need to read this book!. Awesome book. A good mix of psychology, real life stories, history, and a feel good read. Finished it cover to cover in 4 days, I couldn’t put it down.",2020-12-30,Reino Unido
SheepyC,5,Interesting stories about inspiring people,"Interesting stories about inspiring people. Very good book with interesting principles, unique stories about the backgrounds of those we know and should know",2019-05-15,Reino Unido
Gill,5,Great non-fiction read...,Great non-fiction read.... I bought this book as a present for a friend. I read it some time ago and just loved it.....,2016-12-07,Reino Unido
Dan,5,A good buy.,A good buy.. Well documented and presented analysis of research on outliers.,2020-05-06,Reino Unido
Ms. Carolyn Hughes,5,This is a very well written and interesting read.,"This is a very well written and interesting read.. Gladwell has a very accessible writing style and these theories are presented in a very interesting and thought-provoking way. I absolutely loved the book - for non-fiction, it has a great hook and I couldn't put it down. Would definitely recommend it.",2013-05-13,Reino Unido
Ian Dawnay,4,It is a book!,It is a book!. A very good and interesting read.,2019-09-22,Reino Unido
Pat H.,4,Complex interesting,"Complex interesting. A hard book to follow at times. With the inter weaving of how opportunities determination, luck culture contribute to life",2017-06-12,Reino Unido
Dan H.,5,Incredible,Incredible. I loved this book. I manage to read the whole book in one week. I couldnt put it down. Very interesting about different opportunities,2017-01-30,Reino Unido
Mr Dee,5,The parallels of success found in society to society,The parallels of success found in society to society. I’ve never read a book as clear and succinct as Outliers. Every assumption is backed with facts and the writer comes across as a journalist/lawyer.,2019-01-05,Reino Unido
Marc49,5,"Arrived fast, amazing book","Arrived fast, amazing book. Very good book have bought it multiple times and recommended to multiple friends",2019-06-28,Reino Unido
Kindle Customer,5,My thoughts,My thoughts. Great item,2019-11-10,Reino Unido
Karen,5,Five Stars,Five Stars. Fabulous service really great products thank you,2016-09-29,Reino Unido
Amazon Customer,1,Cover book very disappointing,"Cover book very disappointing. The cover book is very bad, it looks as if it was used before, some pages are badly cutted, returning this product for sure.",2020-04-28,Reino Unido
